label,updated_label,articles,Claim,Implication,Referring Expressions - Claim,Referring Expressions - Implication,Property Implications,Equal Entities,Subset Entities,Claim Lfs,Implication Lfs,Logical Form,Logical Form 2
1,,"Coach talks with football player, other players and crowd in background. Thus, a football coach talks with his player in front of the team and the crowd.", A coach talks with a football player., A football coach talks with the player in front of the team and the crowd.,"TalksWith(a, b)","TalksWith(c, d),  InFrontOf(d, e),  InFrontOf(d, f)",[],[],"[(' A coach', ' A football coach'), (' a football player', ' the team')]","TalksWith(a, b)","TalksWith(c, d) and InFrontOf(d, e) and InFrontOf(d, f)","(exists b (exists a (TalksWith(a, b)))) -> (forall e (forall c (TalksWith(c, d) and InFrontOf(d, e) and InFrontOf(d, f))))","(exists b (exists a (TalksWith(a, b)))) -> (exists c (exists f (exists e (exists d (TalksWith(c, d) and InFrontOf(d, e) and InFrontOf(d, f))))))"
1,,"Two men watching one man make a golf putt on the set of Sports Center. As a consequence, people watching sports.", A man is making a golf putt on the set of Sports Center., People are watching sports.,"IsMakingGolfPutt(b),  IsOnSetOfSportsCenter(c, a)",IsWatchingSports(e),[],"[(' sports', ' set')]","[(' A man', ' People'), (' golf putt', ' sports'), (' Sports Center', ' sports')]","IsMakingGolfPutt(b) and IsOnSetOfSportsCenter(c, a)",IsWatchingSports(e),"(exists b (IsMakingGolfPutt(b) and IsOnSetOfSportsCenter(c, a))) -> (forall e (IsWatchingSports(e)))","(exists c (exists b (exists a (IsMakingGolfPutt(b) and IsOnSetOfSportsCenter(c, a))))) -> (exists e (IsWatchingSports(e)))"
1,,"Six women wait to use a port-o-john in a field. Thus, women are outside.", Six women wait to use a port-o-john in a field.  , Women are outside.,"IsWaiting(a),  WantsToUse(b),  IsInField(b)",IsOutside(d),[],[],"[(' Six women', ' Women')]",IsWaiting(a) and WantsToUse(b) and IsInField(b),IsOutside(d),(exists a (IsWaiting(a) and WantsToUse(b) and IsInField(b))) -> (forall d (IsOutside(d))),(exists b (exists a (IsWaiting(a) and WantsToUse(b) and IsInField(b)))) -> (exists d (IsOutside(d)))
1,,Women wearing a black top and glasses speaking into a blue tipped microphone with another woman beside her writing. It follows that one woman speaking into a microphone while a second woman writes beside her., A woman wearing a black top and glasses is speaking into a blue-tipped microphone while another woman writes beside her.  , One woman is speaking into a microphone while a second woman writes beside her.,"IsWearingBlackTopAndGlasses(a),  IsSpeakingInto(a, b),  WritesBeside(c, a)","IsSpeakingInto(d, e),  WritesBeside(f, d)",[],[],"[(' A woman wearing a black top and glasses', ' One woman'), (' blue-tipped microphone', ' a microphone')]","IsWearingBlackTopAndGlasses(a) and IsSpeakingInto(a, b) and WritesBeside(c, a)","IsSpeakingInto(d, e) and WritesBeside(f, d)","(exists b (exists a (IsWearingBlackTopAndGlasses(a) and IsSpeakingInto(a, b) and WritesBeside(c, a)))) -> (forall e (forall d (IsSpeakingInto(d, e) and WritesBeside(f, d))))","(exists c (exists b (exists a (IsWearingBlackTopAndGlasses(a) and IsSpeakingInto(a, b) and WritesBeside(c, a))))) -> (exists e (exists f (exists d (IsSpeakingInto(d, e) and WritesBeside(f, d)))))"
1,,"One tan girl with a wool hat is running and leaning over an object, while another person in a wool hat is sitting on the ground. Therefore, a tan girl runs leans over an object.", A tan girl runs and leans over an object., A tan girl runs and leans over an object.,"IsTan(a),  Runs(a),  LeansOver(a, b)","IsTan(a),  Runs(a),  LeansOver(a, b)",[],"[(' A tan girl', ' A tan girl'), (' an object', ' an object')]",[],"IsTan(a) and Runs(a) and LeansOver(a, b)","IsTan(a) and Runs(a) and LeansOver(a, b)","(IsTan(a) and Runs(a) and LeansOver(a, b)) -> (IsTan(a) and Runs(a) and LeansOver(a, b))","(exists b (exists a (IsTan(a) and Runs(a) and LeansOver(a, b)))) -> (exists b (exists a (IsTan(a) and Runs(a) and LeansOver(a, b))))"
1,,A scientist studies a slide in order to work on her new creation. It follows that a scientist studies a slide that is related to her invention., A scientist studies a slide., A slide is related to a scientist's invention.,"Studies(b, a)","IsRelatedTo(a, c)",[],"[(' a slide', ' Slide')]",[],"Studies(b, a)","IsRelatedTo(a, c)","(Studies(b, a)) -> (IsRelatedTo(a, c))","(exists b (exists a (Studies(b, a)))) -> (exists c (exists a (IsRelatedTo(a, c))))"
1,,"A red dog jumps and catches a tennis ball in its mouth. Consequently, a dog catching a ball."," ""A red dog jumps and catches a tennis ball in its mouth.""  "," ""A dog catches a ball.""","Jumps(a),  Catches(b, a),  IsInMouth(b, c),  IsRed(a)","Catches(e, d)",[],[],"[(' A red dog', ' A dog'), (' a tennis ball', ' a ball')]","IsRed(a) and Jumps(a) and Catches(b, a) and IsInMouth(b, c)","IsDog(d) and IsBall(e) and Catches(d, e)","(exists b (exists a (IsRed(a) and Jumps(a) and Catches(b, a) and IsInMouth(b, c)))) -> (forall e (forall d (IsDog(d) and IsBall(e) and Catches(d, e))))","(exists c (exists b (exists a (IsRed(a) and Jumps(a) and Catches(b, a) and IsInMouth(b, c))))) -> (exists e (exists d (IsDog(d) and IsBall(e) and Catches(d, e))))"
1,,"A group of dogs stand in the snow. Thus, there are animals outdoors.", A group of dogs stand in the snow.  , There are animals outdoors.,"IsGroupOfDogs(a),  StandsInSnow(a)",IsOutdoors(c),[],[],"[(' A group of dogs', ' Animals')]",IsGroupOfDogs(a) and StandsInSnow(a),∃c (Animal(c) and IsOutdoors(c)),(exists a (IsGroupOfDogs(a) and StandsInSnow(a))) -> (forall c (∃c (Animal(c) and IsOutdoors(c)))),(exists a (IsGroupOfDogs(a) and StandsInSnow(a))) -> (exists c (∃c (Animal(c) and IsOutdoors(c))))
1,,This person looks to be snowboarding on a very small pile of snow on a sunny cold day. This implies that young snowboarder sizing up their next jump.," ""A person is snowboarding on a very small pile of snow on a sunny cold day."""," ""A young snowboarder is sizing up the next jump.""","IsSnowboarding(a),  IsVerySmall(b),  IsPileOfSnow(b),  IsSunny(c),  IsCold(c)","IsYoung(d),  IsSnowboarder(d),  IsSizingUp(d, e)",[],[],"[(' A person', ' A young snowboarder')]",IsSnowboarding(a) and IsVerySmall(b) and IsPileOfSnow(b) and IsSunny(c) and IsCold(c),"IsYoung(d) and IsSnowboarder(d) and IsSizingUp(d, e)","(exists a (IsSnowboarding(a) and IsVerySmall(b) and IsPileOfSnow(b) and IsSunny(c) and IsCold(c))) -> (forall d (IsYoung(d) and IsSnowboarder(d) and IsSizingUp(d, e)))","(exists c (exists b (exists a (IsSnowboarding(a) and IsVerySmall(b) and IsPileOfSnow(b) and IsSunny(c) and IsCold(c))))) -> (exists e (exists d (IsYoung(d) and IsSnowboarder(d) and IsSizingUp(d, e))))"
1,,"A large number of people are watching men dressed in kilts, one of whom has thrown a long pole. As a consequence, people watch men in kilts.", A man in a kilt has thrown a long pole., People watch men in kilts.,"IsInKilt(a),  HasThrown(a, b),  IsLong(b)","IsWatching(c, d),  IsInKilt(d)",[],[],"[(' A man in a kilt', ' People'), (' A man in a kilt', ' men in kilts')]","IsInKilt(a) and IsLong(b) and HasThrown(a, b)","IsWatching(c, d) and IsInKilt(d)","(exists a (IsInKilt(a) and IsLong(b) and HasThrown(a, b))) -> (forall d (forall c (IsWatching(c, d) and IsInKilt(d))))","(exists b (exists a (IsInKilt(a) and IsLong(b) and HasThrown(a, b)))) -> (exists c (exists d (IsWatching(c, d) and IsInKilt(d))))"
